region,Time_real_mean,n
Aurangabad,26.45679012345679,81
agra,26.020408163265305,98
bengaluru,26.683185840707964,565
bhopal,25.370786516853933,89
chennai,26.26094276094276,594
coimbatore,26.446601941747574,618
dehradun,27.3625,80
goa,26.598130841121495,107
hyderabad,25.87272727272727,605
indore,25.480541455160743,591
jaipur,26.94533762057878,622
kanpur,25.636363636363637,110
kochi,24.40875912408759,137
kolkata,25.7109375,128
ludhiana,27.15909090909091,132
mumbai,26.53886925795053,566
mysuru,25.928846153846155,520
prayagraj,27.834862385321102,109
pune,26.37878787878788,594
ranchi,26.512345679012345,486
surat,26.034188034188034,585
vadodara,26.64625850340136,294
